STATION,NAME,DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
US1UTSL0104,"SALT LAKE CITY 8.3 WSW, UT US",2023,,,,72,49,,,,,,,,,,,2.61,,,,,,,,,,,,,,17.75,,,,,,,,
US1UTSL0104,"SALT LAKE CITY 8.3 WSW, UT US",2024,,,,63,39,,,,,,,,,,,1.26,,,,,,,,,,,,,,12.7,,,,,,,,
USS0011J70S,"CASCADE MOUNTAIN, UT US",2022,,373,373,91,91,185,,1,178,69,93,0,-1,47,,1.6,88,27,27,21,18,14,30,25,20,20,12,7713,7713,27.23,,44.1,52.2,36.1,,,,
USS0011J70S,"CASCADE MOUNTAIN, UT US",2023,,223,223,116,116,199,,2,157,69,69,0,-2,123,,1.8,88,29,23,23,16,14,31,24,24,19,12,8203,8203,44.46,,44,51.7,36.4,,,,
USS0011J70S,"CASCADE MOUNTAIN, UT US",2024,,362,362,110,110,203,,0,157,50,100,0,7,65,,1.7,87,28,24,22,19,16,29,21,21,19,13,7400,7400,37.44,,46,53.8,38.3,,,,
USS0011J70S,"CASCADE MOUNTAIN, UT US",2025,,302,302,87,87,158,,0,128,53,93,0,0,68,,2.3,87,32,24,24,19,16,29,20,20,20,13,7153,7153,28.85,,46.5,54,39.1,,,,
USC00427942,"SNYDERVILLE, UT US",2025,,,,,,114,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
US1UTSJ0009,"BLANDING 0.3 WSW, UT US",2023,,,,67,36,,,,,,,,,,,1.04,,,,,,,,,,,,,,12.92,,,,,,,,
US1UTSJ0009,"BLANDING 0.3 WSW, UT US",2024,,,,61,32,,,,,,,,,,,1.16,,,,,,,,,,,,,,14.3,,,,,,,,
US1UTSJ0009,"BLANDING 0.3 WSW, UT US",2025,,,,51,27,,,,,,,,,,,1.25,,,,,,,,,,,,,,11.59,,,,,,,,
US1UTSL0079,"SALT LAKE CITY 1.8 SE, UT US",2022,,,,88,43,,,,,,,,,,,1.23,,,,,,,,,,,,,,15.92,,,,,,,,
US1UTSL0079,"SALT LAKE CITY 1.8 SE, UT US",2025,,,,79,33,,,,,,,,,,,1.33,,,,,,,,,,,,,,14.75,,,,,,,,
USS0012M06S,"LONG VALLEY JCT, UT US",2022,,265,265,62,62,145,,1,175,13,133,6,-1,29,,1.2,92,25,25,21,17,13,32,26,15,15,15,6434,6434,17.67,,47.2,60.6,33.9,,,,
USS0012M06S,"LONG VALLEY JCT, UT US",2023,,193,193,70,70,125,,0,173,14,115,6,2,60,,1.3,94,32,25,19,19,16,32,25,19,19,9,7400,7400,26.98,,45.9,58.9,33,,,,
USS0012M06S,"LONG VALLEY JCT, UT US",2024,,320,320,63,63,96,,0,172,4,146,5,4,32,,1.2,94,30,28,24,20,13,31,27,21,18,16,6331,6331,16.55,,49,62.5,35.6,,,,
USS0012M06S,"LONG VALLEY JCT, UT US",2025,,215,215,60,60,46,,0,137,3,131,4,4,18,,1.7,92,28,28,24,16,15,31,27,21,20,13,6025,6025,20.07,,49.4,63,35.9,,,,
USR0000CEDM,"CEDAR MOUNTAINS STOCKTON 24 W, UT US",2022,,1297,1297,,,,,0,159,17,168,77,1,,,,102,30,24,24,20,11,30,28,20,20,14,5850,5850,,,51.8,65.4,38.3,,,,
USR0000CEDM,"CEDAR MOUNTAINS STOCKTON 24 W, UT US",2023,,921,921,,,,,2,153,17,170,48,-2,,,,105,32,25,16,16,16,32,28,24,20,12,6237,6237,,,51,64.1,37.8,,,,
USR0000CEDM,"CEDAR MOUNTAINS STOCKTON 24 W, UT US",2024,,1297,1297,,,,,0,153,2,169,81,9,,,,107,30,28,23,15,15,32,26,24,17,16,5517,5517,,,53.7,67.9,39.5,,,,
USR0000CEDM,"CEDAR MOUNTAINS STOCKTON 24 W, UT US",2025,,1269,1269,,,,,0,118,7,170,79,2,,,,102,28,28,22,16,16,21,21,21,18,8,5266,5266,,,54.9,68.6,41.3,,,,
USC00428119,"SPANISH FORK POWER HOUSE, UT US",2022,,1236,1236,79,46,49,23,1,151,16,176,75,-1,10,6,1.14,101,32,22,22,16,16,32,23,23,9,9,5379,5379,18.41,57.4,52.6,65.2,40,,,,
USC00428119,"SPANISH FORK POWER HOUSE, UT US",2023,,910,910,86,57,69,26,1,137,17,174,43,-2,12,12,1.16,102,24,24,24,18,12,31,26,15,15,15,5975,5975,21.89,78.3,52,63.7,40.2,,,,
USC00428119,"SPANISH FORK POWER HOUSE, UT US",2024,,1278,1278,81,45,23,16,0,116,6,172,79,11,6,4.2,1.36,103,32,27,22,20,12,31,28,24,20,14,5055,5055,19.04,35.7,54.8,67.5,42.1,,,,
USC00428119,"SPANISH FORK POWER HOUSE, UT US",2025,,1166,1166,66,39,17,11,0,95,8,180,75,2,3,3.5,1.11,101,32,28,24,17,,27,27,19,19,16,4880,4880,18.08,23.5,55.5,68.3,42.7,,,,
USC00420928,"BRIGHAM CITY WASTE PLANT, UT US",2022,,925,925,,,,11,4,158,16,158,64,-4,,3,,100,25,25,23,19,16,31,28,21,13,13,6149,6149,13.6,23.9,49.9,63.4,36.3,,,,
USC00420928,"BRIGHAM CITY WASTE PLANT, UT US",2023,,714,714,70,45,,20,3,157,17,160,35,-16,,8.1,2.65,99,25,25,19,19,15,32,24,24,15,15,6505,6505,21.27,60.6,49.8,61.9,37.7,,,,
USC00420928,"BRIGHAM CITY WASTE PLANT, UT US",2024,,928,928,54,37,,6,2,131,5,164,55,-9,,6.7,1.15,101,29,28,23,16,16,31,28,20,20,0,5618,5618,15.89,17.8,52.4,65.5,39.4,,,,
USC00420928,"BRIGHAM CITY WASTE PLANT, UT US",2025,,875,875,,,,6,0,114,5,168,66,4,,3.6,,98,28,28,21,16,16,25,25,22,19,14,5356,5356,12.07,11.3,53.5,67.2,39.9,,,,
USC00422828,"FILLMORE, UT US",2022,,1498,1498,,,,14,1,144,16,185,71,0,,11.5,,102,31,26,19,19,16,32,22,22,19,15,5443,5443,,38.2,53.9,66.8,41.1,,,,
USC00422828,"FILLMORE, UT US",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,
USC00422828,"FILLMORE, UT US",2025,,1390,1390,,,1,5,0,114,10,172,73,7,10,10,,99,32,28,18,18,16,26,26,18,18,12,4949,4949,,24.5,56,68.2,43.8,,,,
USC00422389,"EDEN, UT US",2022,,573,573,80,47,118,22,9,184,38,146,42,-9,19,16,1.83,101,32,25,21,19,13,31,28,22,18,-1,7020,7020,26.59,81.5,46.2,60.2,32.2,,,,
USC00422389,"EDEN, UT US",2023,,441,441,116,75,,41,6,176,39,150,25,-14,,16,1.83,98,22,22,22,20,14,32,26,24,20,13,7597,7597,36.4,201.1,45.9,58.4,33.3,,,,
